Disease,Number,IC,Blur,LC,
D,177,1,1,1,
D,178,1,1,1,
D,179,1,1,1,
D,180,1,1,1,
D,181,1,1,1,
D,182,1,1,1,
D,183,1,1,1,
D,184,1,1,1,
D,185,1,1,1,
D,186,1,1,1,
D,187,1,1,1,
D,188,1,1,1,
D,189,0,1,1,
D,190,1,1,1,
D,191,1,1,1,
D,192,1,1,1,
D,193,1,1,1,
D,194,1,1,1,
D,195,1,1,1,
D,196,1,1,1,
D,197,1,1,1,
D,198,1,1,1,
D,199,1,0,1,
D,200,1,1,1,
D,201,0,0,1,
D,202,1,1,1,
D,203,1,1,1,
D,204,1,1,1,
D,205,1,1,1,
D,206,1,1,1,
D,207,1,1,1,
D,208,1,1,1,
D,209,1,1,1,
D,210,1,0,1,
D,211,1,1,1,
D,212,1,1,1,
D,213,1,1,1,
D,214,1,1,1,
D,215,0,0,1,
D,216,1,1,1,
D,217,1,1,1,
D,218,1,1,1,
D,219,1,0,1,
D,220,1,1,1,
D,221,1,1,1,
D,222,0,0,0,
D,223,1,0,1,
D,224,1,1,1,
D,225,1,1,1,
D,226,1,1,1,
D,227,1,1,1,
D,228,1,1,1,
D,229,1,1,1,
D,230,1,1,1,
D,231,0,0,1,
D,232,1,1,1,
D,233,1,1,1,
D,234,1,1,1,
D,235,1,1,1,
D,236,1,1,1,
D,237,0,0,1,
D,238,1,1,1,
D,239,1,1,1,
D,240,1,1,1,
D,241,1,1,1,
D,242,1,0,1,
D,243,1,1,1,
D,244,1,1,1,
D,245,1,1,1,
D,246,1,1,1,
D,247,1,0,1,
D,248,1,1,1,
D,249,1,1,1,
D,250,1,0,1,
D,251,1,1,1,
D,252,1,0,1,
D,253,1,1,1,
D,254,1,1,1,
D,255,1,1,1,
D,256,0,0,1,
D,257,1,1,1,
D,258,1,1,1,
D,259,1,1,1,
D,260,0,1,1,
D,261,1,1,1,
D,262,1,1,1,
D,263,1,1,1,
D,264,1,1,1,
D,265,1,1,1,
D,266,1,0,1,
D,267,1,0,1,
D,268,0,1,1,
D,269,1,0,1,
D,270,1,0,1,
D,271,1,1,1,
D,272,1,1,1,
D,273,1,1,1,
D,274,1,1,1,
D,275,1,1,1,
D,276,1,1,1,
D,277,0,0,1,
D,278,1,0,1,
D,279,1,1,1,
D,280,0,0,1,
D,281,0,0,1,
D,282,1,1,1,
D,283,0,1,1,
D,284,0,0,1,
D,285,0,1,1,
D,286,1,1,1,
D,287,1,0,1,
D,288,1,1,1,
D,289,1,1,1,
D,290,1,1,1,
D,291,1,1,1,
D,292,1,1,1,
D,293,1,1,1,
D,294,1,0,1,
D,295,1,1,1,
D,296,1,1,1,
D,297,1,0,1,
D,298,1,0,1,
D,299,1,0,1,
D,300,1,1,1,
G,301,0,0,1,
G,302,0,1,1,
G,303,1,0,1,
G,304,1,1,1,
G,305,1,1,1,
G,306,1,1,1,
G,307,0,1,1,
G,308,1,1,1,
G,309,0,1,1,
G,310,1,1,1,
G,311,1,1,1,
G,312,1,1,1,
G,313,1,1,1,
G,314,1,1,1,
G,315,1,1,1,
G,316,0,0,0,
G,317,0,1,1,
G,318,1,1,1,
G,319,0,0,0,
G,320,0,1,1,
G,321,0,0,1,
G,322,1,1,1,
G,323,0,0,0,
G,324,0,0,1,
G,325,0,0,0,
G,326,0,0,0,
G,327,1,1,1,
G,328,0,1,1,
G,329,1,1,1,
G,330,0,1,1,
G,331,0,0,0,
G,332,0,1,1,
G,333,1,1,1,
G,334,0,0,1,
G,335,0,1,1,
G,336,0,1,1,
G,337,0,1,1,
G,338,0,1,1,
G,339,1,1,1,
G,340,1,1,1,
G,341,0,0,0,
G,342,1,1,1,
G,343,1,1,1,
G,344,1,1,1,
G,345,1,1,1,
G,346,1,1,1,
G,347,1,1,1,
G,348,1,1,1,
G,349,0,1,1,
G,350,1,1,1,
G,351,1,1,1,
G,352,0,1,1,
G,353,0,1,0,
G,354,0,1,1,
G,355,0,1,1,
G,356,1,1,1,
G,357,1,1,1,
G,358,1,1,1,
G,359,1,1,1,
G,360,0,0,0,
G,361,0,0,0,
G,362,0,1,1,
G,363,0,0,0,
G,364,0,0,1,
G,365,0,1,1,
G,366,0,0,1,
G,367,1,1,1,
G,368,0,1,1,
G,369,0,1,1,
G,370,0,1,1,
G,371,0,0,1,
G,372,0,1,1,
G,373,0,0,0,
G,374,0,1,1,
G,375,0,1,1,
G,376,1,1,1,
G,377,0,1,1,
G,378,1,1,1,
G,379,1,0,1,
G,380,0,0,0,
G,381,0,0,1,
G,382,0,0,1,
G,383,1,1,1,
G,384,0,0,0,
G,385,0,0,1,
G,386,1,1,1,
G,387,1,1,1,
G,388,1,1,1,
G,389,1,1,1,
G,390,1,1,1,
G,391,0,1,1,
G,392,1,1,1,
G,393,0,1,1,
G,394,0,0,1,
G,395,0,1,1,
G,396,1,1,1,
G,397,1,1,1,
G,398,1,1,1,
G,399,1,0,1,
G,400,0,0,1,
G,401,0,0,0,
G,402,1,1,1,
G,403,1,1,1,
G,404,1,0,0,
G,405,0,0,1,
G,406,0,0,1,
G,407,1,1,1,
G,408,1,1,1,
G,409,1,1,1,
G,410,0,0,1,
G,411,1,1,1,
G,412,1,1,1,
G,413,1,1,1,
G,414,1,1,1,
G,415,1,0,1,
G,416,0,0,0,
G,417,1,1,1,
G,418,1,1,1,
G,419,1,1,1,
G,420,1,1,1,
G,421,1,1,1,
G,422,1,1,1,
G,423,1,1,1,
G,424,1,1,1,
G,425,1,1,1,
G,426,1,1,1,
G,427,0,1,1,
G,428,1,1,1,
G,429,1,1,1,
G,430,1,1,1,
G,431,1,1,1,
G,432,1,1,1,
G,433,1,1,1,
G,434,0,0,1,
G,435,1,1,1,
G,436,1,1,1,
G,437,1,1,1,
G,438,0,0,1,
G,439,0,1,1,
G,440,1,1,1,
G,441,1,1,1,
G,442,0,0,1,
G,443,0,0,1,
G,444,1,1,1,
G,445,1,1,1,
G,446,1,1,1,
G,447,0,0,0,
G,448,0,0,0,
G,449,0,1,1,
G,450,1,1,1,
N,451,1,1,1,
N,452,1,1,1,
N,453,0,1,1,
N,454,0,1,1,
N,455,1,1,1,
N,456,0,1,1,
N,457,1,1,1,
N,458,1,1,1,
N,459,1,1,1,
N,460,1,1,1,
N,461,1,1,1,
N,462,1,1,1,
N,463,1,1,1,
N,464,0,1,1,
N,465,1,1,1,
N,466,1,1,1,
N,467,1,1,1,
N,468,1,1,1,
N,469,1,1,1,
N,470,1,1,1,
N,471,1,1,1,
N,472,1,1,1,
N,473,1,1,1,
N,474,1,1,1,
N,475,1,1,1,
N,476,1,1,1,
N,477,1,1,1,
N,478,1,1,1,
N,479,1,1,1,
N,480,1,1,1,
N,481,1,1,1,
N,482,1,1,1,
N,483,1,1,1,
N,484,1,1,1,
N,485,1,1,1,
N,486,1,1,1,
N,487,1,1,1,
N,488,1,1,1,
N,489,1,1,1,
N,490,1,1,1,
N,491,1,1,1,
N,492,1,1,1,
N,493,1,1,1,
N,494,1,1,1,
N,495,1,1,1,
N,496,1,1,1,
N,497,1,1,1,
N,498,1,1,1,
N,499,1,1,1,
N,500,1,1,1,
N,501,1,1,1,
N,502,1,1,1,
N,503,1,1,1,
N,504,1,1,1,
N,505,1,1,1,
N,506,1,1,1,
N,507,1,1,1,
N,508,1,1,1,
N,509,1,1,1,
N,510,1,1,1,
N,511,1,1,1,
N,512,1,1,1,
N,513,1,1,1,
N,514,1,1,1,
N,515,1,1,1,
N,516,1,1,1,
N,517,1,1,1,
N,518,1,1,1,
N,519,1,1,1,
N,520,1,1,1,
N,521,1,1,1,
N,522,1,1,1,
N,523,1,1,1,
N,524,1,1,1,
N,525,1,1,1,
N,526,1,1,1,
N,527,1,1,1,
N,528,1,1,1,
N,529,1,1,1,
N,530,1,1,1,
N,531,0,1,1,
N,532,1,1,1,
N,533,1,1,1,
N,534,1,1,1,
N,535,1,1,1,
N,536,1,1,1,
N,537,1,1,1,
N,538,1,1,1,
N,539,1,1,1,
N,540,1,1,1,
N,541,1,1,1,
N,542,1,1,1,
N,543,1,1,1,
N,544,1,1,1,
N,545,1,1,1,
N,546,1,1,1,
N,547,1,1,1,
N,548,1,1,1,
N,549,1,1,1,
N,550,1,1,1,
N,551,1,1,1,
N,552,1,1,1,
N,553,1,1,1,
N,554,1,1,1,
N,555,1,1,1,
N,556,1,1,1,
N,557,1,1,1,
N,558,1,1,1,
N,559,1,1,1,
N,560,1,1,1,
N,561,1,1,1,
N,562,1,1,1,
N,563,1,1,1,
N,564,1,1,1,
N,565,1,1,1,
N,566,1,1,1,
N,567,1,1,1,
N,568,1,1,1,
N,569,1,1,1,
N,570,1,1,1,
N,571,1,1,1,
N,572,1,1,1,
N,573,1,1,1,
N,574,1,1,1,
N,575,1,1,1,
N,576,1,1,1,
N,577,1,1,1,
N,578,1,1,1,
N,579,1,1,1,
N,580,1,1,1,
N,581,1,1,1,
N,582,1,1,1,
N,583,1,1,1,
N,584,1,1,1,
N,585,1,1,1,
N,586,1,1,1,
N,587,1,1,1,
N,588,1,1,1,
N,589,1,1,1,
N,590,1,1,1,
N,591,1,1,1,
N,592,1,1,1,
N,593,1,1,1,
N,594,1,1,1,
N,595,1,1,1,
N,596,1,1,1,
N,597,1,1,1,
N,598,1,1,1,
N,599,1,1,1,
N,600,1,1,1,
